Summary Statistics						
		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	N	mean	sd	min	max
						
year	year	220	2,010	5.779	2,001	2,020
ExportPGDP	Exports (% GDP)	220	43.49	26.23	9.036	133.3
ImportPGDP	Imports (% GDP)	220	40.08	22.11	13.15	124.4
DomesticTaxGDP	Domestic Consumption Tax Revenue (% GDP)	220	7.532	3.630	0.406	13.17
InternationalTaxGDP	International Tax Revenue (% GDP)	180	0.353	0.300	0.000616	1.087
GDPCurrent_Billions	GDP(Current USD, Billions)	220	2,193	4,505	53.87	21,540
ImportValue_Billions	Import Value(Billions USD)	215	503.3	670.2	16.83	3,121
						
